genus,family,order,trait_refined,trait,trophic,type
Berosus,Hydrophilidae,Coleoptera,predator(L)/colector(A),insect_predator,predator,insect
Bidessonotus,Dytiscidae,Coleoptera,predator,insect_predator,predator,insect
Callibaetis,Baetidae,Ephemeroptera,colector,insect_consumer,consumer,insect
Chaoborus,Chaoboridae,Diptera,predador (controverse),insect_consumer,consumer,insect
Chironominae,Chironomidae,Diptera,colector / filter,insect_consumer,consumer,insect
Copelatus,Dytiscidae,Coleoptera,predator,insect_predator,predator,insect
Culex,Culicidae,Diptera,colector / filter,insect_consumer,consumer,insect
Curicta,Nepidae,Hemiptera,predator,insect_predator,predator,insect
Hypodessus,Dytiscidae,Coleoptera,predator,insect_predator,predator,insect
Liodessus,Dytiscidae,Coleoptera,predator,insect_predator,predator,insect
Microvelia,Veliidae,Hemiptera,predator,insect_predator,predator,insect
Orthemis,Libellulidae,Odonata,predator,insect_predator,predator,insect
Pantala,Libellulidae,Odonata,predator,insect_predator,predator,insect
Physalaemos nattereri,Leptodactylidae,Anura,herbivore / scraper,amphibian_consumer,consumer,amphibian
Rhantus,Dytiscidae,Coleoptera,predator,insect_predator,predator,insect
Scinax sp.,Hylidae,Anura,herbivore / scraper,amphibian_consumer,consumer,amphibian
Tropisternus,Hydrophilidae,Coleoptera,predator(L)/colector(A),insect_predator,predator,insect
Buenoa,Notonectidae,Hemiptera,predator,insect_predator,predator,insect
Caenis,Caenidae,Ephemeroptera,colector,insect_consumer,consumer,insect
Ceratopogonidae,Ceratopogonidae,Diptera,predador (controverse) / facultative colector,insect_consumer,consumer,insect
Derovatellus,Dytiscidae,Coleoptera,predator,insect_predator,predator,insect
Erythrodiplax,Libellulidae,Odonata,predator,insect_predator,predator,insect
Hydrocanthus,Noteridae,Coleoptera,predator,insect_predator,predator,insect
Limnocoris,Naucoridae,Hemiptera,predator,insect_predator,predator,insect
Notonecta,Notonectidae,Hemiptera,predator,insect_predator,predator,insect
Oxyagrion,Coenagrionidae,Odonata,predator,insect_predator,predator,insect
Pelocoris,Naucoridae,Hemiptera,predator,insect_predator,predator,insect
Sigara,Corixidae,Hemiptera,predator / scraper / piecer herbivore,insect_predator,predator,insect
Tanypodinae,Chironomidae,Diptera,predator (controverse),insect_consumer,consumer,insect
Tholymis,Libellulidae,Odonata,predator,insect_predator,predator,insect
Anax,Aeshnidae,Odonata,predator,insect_predator,predator,insect
Elachistocleis sp.,Microhylidae,Anura,herbivore / scraper,amphibian_consumer,consumer,amphibian
Heterelmis,Elmidae,Coleoptera,colector/shredder/shredder of live plants,insect_consumer,consumer,insect
Laccophilus,Dytiscidae,Coleoptera,predator,insect_predator,predator,insect
Staphylinidae,Staphylinidae,Coleoptera,predator/colector/shredder of live plants,insect_predator,predator,insect
Thermonectus,Hydrophilidae,Coleoptera,predator(L)/colector(A),insect_predator,predator,insect
Progomphus,Gomphidae,Odonata,predator,insect_predator,predator,insect
