"","ID","survey","subam","subam_type","isolation","treatments","Anax","Berosus","Bidessonotus","Buenoa","Caenis","Callibaetis","Ceratopogonidae","Chaoborus","Chironominae","Copelatus","Culex","Curicta","Derovatellus","Elachistocleis.sp.","Erythrodiplax","Heterelmis","Hydrocanthus","Hypodessus","Laccophilus","Limnocoris","Liodessus","Microvelia","Notonecta","Orthemis","Oxyagrion","Pantala","Pelocoris","Physalaemos.nattereri","Progomphus","Rhantus","Scinax.sp.","Sigara","Tanypodinae","Thermonectus","Tholymis","Tropisternus"
"A01","A01","1","1","center","30","control",0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"A02","A02","1","1","center","30","pasture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
"A03","A03","1","1","center","30","sugar_cane",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,0,0,0,0,0
"A04","A04","1","1","center","30","control",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"A05","A05","1","1","center","30","pasture",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"A06","A06","1","1","center","30","sugar_cane",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"A07","A07","1","1","center","30","control",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,5,0,0,0,0,0
"A08","A08","1","1","center","30","pasture",0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"A09","A09","1","1","center","30","sugar_cane",0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"A10","A10","1","1","center","30","control",0,0,1,0,0,0,0,0,2,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"A11","A11","1","1","center","30","pasture",0,2,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A12","A12","1","1","center","30","sugar_cane",0,2,0,0,0,0,0,0,6,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0
"A13","A13","1","1","center","30","control",0,1,0,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A14","A14","1","1","center","30","pasture",0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
